cluster	size	dominant_stem	stem_coherence	dominant_go	go_coherence	dominant_kw	kw_coherence	dominant_ec_top	ec_coherence	n_outliers	case_study_score	outlier_accessions	outlier_protein_names
47	199	Cholesterol 24-hydroxylase	0.598	heme binding	0.94	Heme	0.94	1	1.0	80	0.47	A0A0R4IZV0;A0A1S3A3M8;A0A1U7UHE5;A0A2I3G3S5;A0A2K5ID80;A0A2K5KXR0;A0A2K5VMH7;A0A2K5ZE62;A0A2K6CV33;A0A2K6Q340;A0A2R8Q2J0;A0A6J2KYF9;A0A6P3QTB8;A0A6P5M3K3;A0A6P5MAI3;A0A8B7S0T1;A0A8C5VXV2;A0A8C9M093;A0A8D2CXB1;A0A8D2CXD7;A0A8D2CXM1;A0A8D2CY40;A0A8D2G3L0;A0A8I5N8C9;A0A8I5NLX4;A0A8I5ZMM4;A0A9Y1GKZ0;A0AA40HPG4;A0ABM0J3B1;A0ABN9Z6I3	NPC intracellular cholesterol transporter 1 precursor (Niema;Cytochrome P450 1A (EC 1.14.14.1);Cytochrome P450 1A (EC 1.14.14.1);Cytochrome P450 1A (EC 1.14.14.1);Cytochrome P450 1A (EC 1.14.14.1);Cytochrome P450 1A (EC 1.14.14.1);Cytochrome P450 1A (EC 1.14.14.1);Cytochrome P450 1A (EC 1.14.14.1);Cytochrome P450 1A (EC 1.14.14.1);Cytochrome P450 1A (EC 1.14.14.1);NPC intracellular cholesterol transporter 1 isoform X1 (Niem;Cytochrome P450 1A (EC 1.14.14.1);Cytochrome P450 1A (EC 1.14.14.1);Cytochrome P450 1A (EC 1.14.14.1);Cytochrome P450 1A (EC 1.14.14.1);Cytochrome P450 1A (EC 1.14.14.1);Cytochrome P450 1A (EC 1.14.14.1);Cytochrome P450 1A (EC 1.14.14.1);Cytochrome P450 1A (EC 1.14.14.1);Cytochrome P450 1A (EC 1.14.14.1);Cytochrome P450 1A (EC 1.14.14.1);Cytochrome P450 1A (EC 1.14.14.1);Cytochrome P450 1A (EC 1.14.14.1);Cytochrome P450 1A (EC 1.14.14.1);Cytochrome P450 1A (EC 1.14.14.1);steroid 11beta-monooxygenase (EC 1.14.15.4);Cytochrome P450 1A (EC 1.14.14.1);Cytochrome P450 1A (EC 1.14.14.1);Cytochrome P450 1A (EC 1.14.14.1);Cytochrome P450 1A (EC 1.14.14.1)
77	9	Microsomal triglyceride transfer protein large subunit	0.556	phospholipid transporter activity	1.0	Lipid transport	1.0		0.0	4	0.469	P11597;P22687;P47896;Q3V6R6	Cholesteryl ester transfer protein (Lipid transfer protein I;Cholesteryl ester transfer protein (Lipid transfer protein I;Cholesteryl ester transfer protein (Lipid transfer protein I;Cholesteryl ester transfer protein
74	198	Carboxylic ester hydrolase	0.591	sterol ester esterase activity	0.859	Lipid metabolism	0.955	3	0.788	81	0.454	A0A1I8HAI5;A0A1J1IK35;A0A2I0U9P7;A0A2K5VZ29;A0A2K6AER2;A0A2K6B7H6;A0A2K6RK83;A0A2R9B353;A0A3P8S566;A0A3P8S580;A0A3P8U523;A0A3P8YMM6;A0A452G1D0;A0A498LL96;A0A498M1F4;A0A4D9E6P2;A0A4Z2FRQ6;A0A553QZB3;A0A556TUM2;A0A5F8A2H1;A0A674CYM3;A0A674P5Q2;A0A6B0S3C6;A0A6G0I0L4;A0A7J5YIL0;A0A7N5JDU8;A0A7N5P1J8;A0A7N9DE40;A0A811XUY8;A0A8C3N7Z0	Sterol carrier protein 2 (EC 2.3.1.155) (EC 2.3.1.16) (EC 2.;Hormone-sensitive lipase (EC 3.1.1.23) (EC 3.1.1.79) (Monoac;3-keto-steroid reductase/17-beta-hydroxysteroid dehydrogenas;Bile salt-activated lipase (EC 3.1.1.13) (EC 3.1.1.3) (EC 3.;Bile salt-activated lipase (EC 3.1.1.13) (EC 3.1.1.3) (EC 3.;Bile salt-activated lipase (EC 3.1.1.13) (EC 3.1.1.3) (EC 3.;Bile salt-activated lipase (EC 3.1.1.13) (EC 3.1.1.3) (EC 3.;Bile salt-activated lipase (EC 3.1.1.13) (EC 3.1.1.3) (EC 3.;Bile salt-activated lipase (EC 3.1.1.13) (EC 3.1.1.6) (Bile ;Bile salt-activated lipase (EC 3.1.1.13) (EC 3.1.1.6) (Bile ;Bile salt-activated lipase (EC 3.1.1.13) (EC 3.1.1.6) (Bile ;Bile salt-activated lipase (EC 3.1.1.13) (EC 3.1.1.6) (Bile ;Bile salt-activated lipase (EC 3.1.1.13) (EC 3.1.1.3) (EC 3.;Bile salt-activated lipase (EC 3.1.1.13) (EC 3.1.1.6) (Bile ;Bile salt-activated lipase (EC 3.1.1.13) (EC 3.1.1.6) (Bile ;Bile salt-activated lipase (EC 3.1.1.13) (EC 3.1.1.6) (Bile ;Bile salt-activated lipase (EC 3.1.1.13) (EC 3.1.1.6) (Bile ;Bile salt-activated lipase (EC 3.1.1.13) (EC 3.1.1.6) (Bile ;Bile salt-activated lipase (EC 3.1.1.13) (EC 3.1.1.6) (Bile ;Bile salt-activated lipase (EC 3.1.1.13) (EC 3.1.1.3) (EC 3.;Glucosylceramidase (EC 3.2.1.45);Bile salt-activated lipase (EC 3.1.1.13) (EC 3.1.1.6) (Bile ;Bile salt-activated lipase (EC 3.1.1.13) (EC 3.1.1.3) (EC 3.;Bile salt-activated lipase (EC 3.1.1.13) (EC 3.1.1.6) (Bile ;Bile salt-activated lipase (EC 3.1.1.13) (EC 3.1.1.6) (Bile ;Hedgehog protein;Bile salt-activated lipase (EC 3.1.1.13) (EC 3.1.1.3) (EC 3.;Bile salt-activated lipase (EC 3.1.1.13) (EC 3.1.1.3) (EC 3.;Bile salt-activated lipase (EC 3.1.1.13) (EC 3.1.1.3) (EC 3.;Bile salt-activated lipase (EC 3.1.1.13) (EC 3.1.1.6) (Bile 
18	204	11-beta-hydroxysteroid dehydrogenase 1	0.711	steroid binding	0.691	Oxidoreductase	0.966	1	0.968	59	0.453	A0A091D5V5;A0A2K5VR43;A0A341CHQ2;A0A4W2DN11;A0A4X2M159;A0A5F7ZH47;A0A5F9DEH6;A0A670IGM1;A0A7F8RVH3;A0A8B9V2Q4;A0A8B9ZUT7;A0A8C6AFK1;A0A8C9BGF9;A0A8C9PN18;A0A8D2FNH0;A0A8I5MZG4;A0A8J6ACK5;A0ABM4MLH5;A0ABM4MLI6;A0ABQ9U9N5;G1TES6;G1TIW6;H1A3A8;M1EG39;O02767;O14756;O14975;O35488;O54753;O54909	Dehydrogenase/reductase SDR family member 4 (EC 1.1.1.104) (;Carbonyl reductase [NADPH] 1 (EC 1.1.1.184) (EC 1.1.1.189) (;Carbonyl reductase [NADPH] 1 (EC 1.1.1.184) (EC 1.1.1.189) (;Carbonyl reductase [NADPH] 1 (EC 1.1.1.184) (EC 1.1.1.189) (;3-hydroxyacyl-CoA dehydrogenase type-2 (EC 1.1.1.159) (EC 1.;Carbonyl reductase [NADPH] 1 (EC 1.1.1.184) (EC 1.1.1.189) (;Carbonyl reductase [NADPH] 1 (EC 1.1.1.184) (EC 1.1.1.189) (;Acyl-coenzyme A thioesterase 8 (EC 3.1.2.1) (EC 3.1.2.11) (E;Carbonyl reductase [NADPH] 1 (EC 1.1.1.189) (EC 1.1.1.196) (;3-hydroxyacyl-CoA dehydrogenase type-2 (EC 1.1.1.159) (EC 1.;3-hydroxyacyl-CoA dehydrogenase type-2 (EC 1.1.1.159) (EC 1.;Carbonyl reductase [NADPH] 1 (EC 1.1.1.184) (EC 1.1.1.189) (;Carbonyl reductase [NADPH] 1 (EC 1.1.1.184) (EC 1.1.1.189) (;Carbonyl reductase [NADPH] 1 (EC 1.1.1.189) (EC 1.1.1.196) (;Dehydrogenase/reductase SDR family member 11 (EC 1.1.1.270) ;Carbonyl reductase [NADPH] 1 (EC 1.1.1.184) (EC 1.1.1.189) (;Carbonyl reductase [NADPH] 1 (EC 1.1.1.184) (EC 1.1.1.189) (;Carbonyl reductase [NADPH] 1 (EC 1.1.1.184) (EC 1.1.1.189) (;Carbonyl reductase [NADPH] 1 (EC 1.1.1.184) (EC 1.1.1.189) (;Carbonyl reductase [NADPH] 1 (EC 1.1.1.184) (EC 1.1.1.189) (;3-hydroxyacyl-CoA dehydrogenase type-2 (EC 1.1.1.159) (EC 1.;Carbonyl reductase [NADPH] 1 (EC 1.1.1.184) (EC 1.1.1.189) (;3-keto-steroid reductase/17-beta-hydroxysteroid dehydrogenas;Carbonyl reductase [NADPH] 1 (EC 1.1.1.184) (EC 1.1.1.189) (;Peroxisomal acyl-coenzyme A oxidase 2 (EC 1.17.99.3) (3-alph;17-beta-hydroxysteroid dehydrogenase type 6 (17-beta-HSD 6) ;Long-chain fatty acid transport protein 2 (Arachidonate--CoA;Long-chain fatty acid transport protein 2 (Arachidonate--CoA;17-beta-hydroxysteroid dehydrogenase type 6 (17-beta-HSD 6) ;Retinol dehydrogenase 16 (EC 1.1.1.105) (EC 1.1.1.209) (EC 1
70	16	24-hydroxycholesterol 7-alpha-hydroxylase	0.5	estradiol 17-beta-dehydrogenase [NAD(P)+] activity	0.5	Lipid metabolism	1.0	1	1.0	8	0.45	A0A4X2L6H9;A0A4X2L6I9;A0A5N4CQN0;A0A5N4CQN4;A0A673U793;A0A7N4P7T8;L5LL88;L9L374	(3R)-3-hydroxyacyl-CoA dehydrogenase (EC 1.1.1.239) (EC 1.1.;(3R)-3-hydroxyacyl-CoA dehydrogenase (EC 1.1.1.239) (EC 1.1.;(3R)-3-hydroxyacyl-CoA dehydrogenase (EC 1.1.1.239) (EC 1.1.;(3R)-3-hydroxyacyl-CoA dehydrogenase (EC 1.1.1.239) (EC 1.1.;(3R)-3-hydroxyacyl-CoA dehydrogenase (EC 1.1.1.239) (EC 1.1.;(3R)-3-hydroxyacyl-CoA dehydrogenase (EC 1.1.1.239) (EC 1.1.;(3R)-3-hydroxyacyl-CoA dehydrogenase (EC 1.1.1.239) (EC 1.1.;(3R)-3-hydroxyacyl-CoA dehydrogenase (EC 1.1.1.239) (EC 1.1.
73	35	Multidrug resistance-associated protein 1	0.229	sterol biosynthetic process	0.429	Lipid metabolism	0.657	1	1.0	27	0.44	B2RX12;F4JLZ6;O13666;O15438;O75845;O88563;O88822;O93875;O94457;O95992;P32353;P53045;Q15800;Q1EC69;Q39208;Q4QQV7;Q59VG6;Q8L7W5;Q8VWZ8;Q9CRA4;Q9EQS5;Q9Z0F5;Q9ZW22;O75477;O94905;Q91X78;C8WL31	ATP-binding cassette sub-family C member 3 (EC 7.6.2.-) (EC ;Methylsterol monooxygenase 1-3 (EC 1.14.18.11) (EC 1.14.18.9;Delta(7)-sterol 5(6)-desaturase erg32 (EC 1.14.19.20) (C-5 s;ATP-binding cassette sub-family C member 3 (EC 7.6.2.-) (EC ;Lathosterol oxidase (EC 1.14.19.20) (C-5 sterol desaturase) ;ATP-binding cassette sub-family C member 3 (EC 7.6.2.-) (EC ;Lathosterol oxidase (EC 1.14.19.20) (C-5 sterol desaturase) ;Delta(7)-sterol 5(6)-desaturase (EC 1.14.19.20) (C-5 sterol ;Delta(7)-sterol 5(6)-desaturase erg31 (EC 1.14.19.20) (C-5 s;Cholesterol 25-hydroxylase (EC 1.14.99.38) (Cholesterol 25-m;Delta(7)-sterol 5(6)-desaturase ERG3 (EC 1.14.19.20) (C-5 st;C-4 methylsterol oxidase ERG25 (EC 1.14.18.-) (Ergosterol bi;Methylsterol monooxygenase 1 (EC 1.14.18.9) (C-4 methylstero;Methylsterol monooxygenase 1-2 (EC 1.14.18.10) (EC 1.14.18.9;Delta(7)-sterol-C5(6)-desaturase 1 (EC 1.14.19.20) (Delta(7);Cholesterol 25-hydroxylase (EC 1.14.99.38) (Cholesterol 25-m;Delta(7)-sterol 5(6)-desaturase ERG3 (EC 1.14.19.20) (C-5 st;Methylsterol monooxygenase 1-1 (EC 1.14.18.10) (EC 1.14.18.9;Methylsterol monooxygenase 2-2 (EC 1.14.18.11) (EC 1.14.18.9;Methylsterol monooxygenase 1 (EC 1.14.18.9) (C-4 methylstero;Lathosterol oxidase (EC 1.14.19.20) (C-5 sterol desaturase) ;Cholesterol 25-hydroxylase (EC 1.14.99.38) (Cholesterol 25-m;Methylsterol monooxygenase 2-1 (EC 1.14.18.11) (EC 1.14.18.9;Erlin-1 (Endoplasmic reticulum lipid raft-associated protein;Erlin-2 (Endoplasmic reticulum lipid raft-associated protein;Erlin-1 (Endoplasmic reticulum lipid raft-associated protein;Band 7 protein
46	11	Cytochrome P450 85A1	0.455	heme binding	1.0	Iron	1.0	1	1.0	6	0.439	A0A517FNB9;A0A517FNC5;A0A517FNC6;O64989;Q42569;Q5CCK3	Cholesterol 22-monohydroxylase CYP90B52 (EC 1.14.14.-) (Cyto;Cholesterol 16,22-dihydroxylase CYP90G4 (EC 1.14.14.-) (Cyto;Cholesterol 22-monohydroxylase CYP90B51 (EC 1.14.14.-) (Cyto;Steroid (22S)-hydroxylase (EC 1.14.14.178) ((22S)-22-hydroxy;3beta,22alpha-dihydroxysteroid 3-dehydrogenase (EC 1.14.19.7;Steroid (22S)-hydroxylase (EC 1.14.14.178) ((22S)-22-hydroxy
55	33	Organic solute transporter subunit alpha	0.182	bile acid and bile salt transport	0.485	Transport	0.788	1	1.0	27	0.423	A6QP84;I1GQE7;K7NBR2;O08705;P26435;P70172;Q0VCK9;Q12908;Q14973;Q28727;Q3KNW5;Q5BJD5;Q5R9K4;Q62633;Q6NYY9;Q70EX6;Q8K1A5;Q91ZQ0;Q940V4;Q96GC9;Q99KU0;Q9CXB2;Q9FMA5;A2AWR3;Q7Z3F1;Q7ZWK8;Q9NZG7	Sodium-dependent organic anion transporter (Soat) (Solute ca;Cytochrome P450 85A1 (BdCYP85A1) (3-dehydroteasterone syntha;Cucurbitadienol 11-hydroxylase (EC 1.14.14.71) (Cytochrome P;Hepatic sodium/bile acid cotransporter (Na(+)/bile acid cotr;Hepatic sodium/bile acid cotransporter (Na(+)/bile acid cotr;Ileal sodium/bile acid cotransporter (Apical sodium-dependen;Vacuole membrane protein 1;Ileal sodium/bile acid cotransporter (Apical sodium-dependen;Hepatic sodium/bile acid cotransporter (Cell growth-inhibiti;Ileal sodium/bile acid cotransporter (Apical sodium-dependen;Sodium-dependent organic anion transporter (SOAT) (Solute ca;Transmembrane protein 41B (Protein stasimon);Vacuole membrane protein 1;Ileal sodium/bile acid cotransporter (Apical sodium-dependen;Vacuole membrane protein 1;Sodium-dependent organic anion transporter (Soat) (Solute ca;Transmembrane protein 41B (Protein stasimon);Vacuole membrane protein 1;Cytochrome P450 85A2 (AtCYP85A2) (EC 1.14.14.180) (28-norcas;Vacuole membrane protein 1 (Transmembrane protein 49);Vacuole membrane protein 1 (NF-E2-inducible protein 2) (Prot;Sodium-dependent organic anion transporter (SOAT) (Solute ca;Cytochrome P450 85A1 (AtCYP85A1) (3-dehydroteasterone syntha;Lysosomal cholesterol signaling protein (LYCHOS);Lysosomal cholesterol signaling protein (LYCHOS) (G-protein ;Proton channel OTOP1 (Otopetrin-1);Ninjurin-2 (Nerve injury-induced protein 2)
48	46	Sterol O-acyltransferase 1	0.174	cholesterol metabolic process	0.5	Transferase	0.783	2	1.0	38	0.421	B2RVI8;O00204;O00338;O35400;O75897;O97763;P15709;P17988;P19217;P22789;P49887;P49888;P49891;P50225;P50227;P52840;P52842;P52843;P52844;P52846;P61916;P79345;Q06520;Q29476;Q29YR5;Q5VTY9;Q6IMI6;Q8BGL3;Q8BMT9;Q9DGJ3	Sulfotransferase 2A6 (ST2A6) (EC 2.8.2.2) (Bile acid:3'phosp;Sulfotransferase 2B1 (EC 2.8.2.2) (Alcohol sulfotransferase);Sulfotransferase 1C2 (ST1C2) (EC 2.8.2.1) (Sulfotransferase ;Sulfotransferase 2B1 (EC 2.8.2.2) (Alcohol sulfotransferase);Sulfotransferase 1C4 (ST1C4) (EC 2.8.2.1) (Sulfotransferase ;NPC intracellular cholesterol transporter 2 (16 kDa secretor;Sulfotransferase 2A1 (ST2A1) (EC 2.8.2.2) (Bile salt sulfotr;Sulfotransferase 1A1 (ST1A1) (EC 2.8.2.1) (Aryl sulfotransfe;Sulfotransferase 1E1 (ST1E1) (EC 2.8.2.4) (Estrogen sulfotra;Sulfotransferase 2A6 (ST2A6) (EC 2.8.2.2) (Androsterone-sulf;Sulfotransferase 1E1 (ST1E1) (EC 2.8.2.4) (Estrogen sulfotra;Sulfotransferase 1E1 (ST1E1) (EC 2.8.2.4) (EST-1) (Estrogen ;Sulfotransferase 1E1 (ST1E1) (EC 2.8.2.4) (Estrogen sulfotra;Sulfotransferase 1A1 (ST1A1) (EC 2.8.2.1) (Aryl sulfotransfe;Sulfotransferase 1A1 (ST1A1) (EC 2.8.2.1) (Aryl sulfotransfe;Sulfotransferase 1A1 (ST1A1) (EC 2.8.2.1) (Aryl sulfotransfe;Sulfotransferase 2A1 (ST2A1) (EC 2.8.2.2) (Bile salt sulfotr;Sulfotransferase 2A1 (ST2A1) (EC 2.8.2.2) (Bile salt sulfotr;Sulfotransferase 1E1 (ST1E1) (EC 2.8.2.4) (Estrogen sulfotra;Sulfotransferase 1A1 (ST1A1) (EC 2.8.2.1) (Aryl sulfotransfe;NPC intracellular cholesterol transporter 2 (Epididymal secr;NPC intracellular cholesterol transporter 2 (EPV20) (Epididy;Sulfotransferase 2A1 (ST2A1) (EC 2.8.2.2) (Bile salt sulfotr;Sulfotransferase 1A1 (ST1A1) (EC 2.8.2.1) (Aryl sulfotransfe;Sulfotransferase 2B1 (EC 2.8.2.2) (Alcohol sulfotransferase);Protein-cysteine N-palmitoyltransferase HHAT (EC 2.3.1.-) (H;Sulfotransferase 1C3 (ST1C3) (EC 2.8.2.1) (EC 2.8.2.2);Sulfotransferase 2A8 (SULT2A8) (Glycochenodeoxycholate sulfo;Protein-cysteine N-palmitoyltransferase HHAT (EC 2.3.1.-) (H;NPC intracellular cholesterol transporter 2 (16.5 kDa secret
76	13	Caveolin	0.538	acrosomal membrane	0.538	Golgi apparatus	0.538		0.0	6	0.417	A0A0A0MS99;A0A2K6QY91;A0A5F9C1S4;A0A8C0LJ28;A0A8C9I1C7;A0A8D2K7A2	Multidrug resistance-associated protein 1 (EC 7.6.2.2) (EC 7;Multidrug resistance-associated protein 1 (EC 7.6.2.2) (EC 7;Multidrug resistance-associated protein 1 (EC 7.6.2.2) (EC 7;Multidrug resistance-associated protein 1 (EC 7.6.2.2) (EC 7;Multidrug resistance-associated protein 1 (EC 7.6.2.2) (EC 7;Multidrug resistance-associated protein 1 (EC 7.6.2.2) (EC 7
31	41	Delta	0.122	glucuronosyltransferase activity	0.659	Transferase	0.805	1	0.818	36	0.416	F7EKA4;O60656;O75795;P06133;P08542;P09875;P0DTE4;P0DTE5;P16662;P22309;P35503;P36510;P36511;P54855;Q62452;Q62789;Q63886;Q64550;Q64633;Q64634;Q64637;Q6T5F3;Q6ZQM8;Q80X89;Q9HAW7;Q9HAW8;Q9HAW9;Q9M8Z7;Q9XIG1;A0A673XP92	UDP-glucuronosyltransferase (EC 2.4.1.17);UDP-glucuronosyltransferase 1A9 (UGT1A9) (EC 2.4.1.17) (UDP-;UDP-glucuronosyltransferase 2B17 (UDPGT 2B17) (UGT2B17) (EC ;UDP-glucuronosyltransferase 2B4 (UDPGT 2B4) (UGT2B4) (EC 2.4;UDP-glucuronosyltransferase 2B17 (UDPGT 2B17) (UGT2B17) (EC ;UDP-glucuronosyltransferase 2B1 (UDPGT 2B1) (UGT2B1) (EC 2.4;UDP-glucuronosyltransferase 2A1 (UDPGT 2A1) (UGT2A1) (EC 2.4;UDP-glucuronosyltransferase 2A2 (UDPGT 2A2) (EC 2.4.1.17);UDP-glucuronosyltransferase 2B7 (UDPGT 2B7) (UGT2B7) (EC 2.4;UDP-glucuronosyltransferase 1A1 (UGT1A1) (EC 2.4.1.17) (Bili;UDP-glucuronosyltransferase 1A3 (UGT1A3) (EC 2.4.1.17) (UDP-;UDP-glucuronosyltransferase 2A1 (UDPGT 2A1) (UGT2A1) (EC 2.4;UDP-glucuronosyltransferase 2B15 (UDPGT 2B15) (UGT2B15) (EC ;UDP-glucuronosyltransferase 2B15 (UDPGT 2B15) (UGT2B15) (EC ;UDP-glucuronosyltransferase 1A9 (UGT1A9) (EC 2.4.1.17) (UDP-;UDP-glucuronosyltransferase 2B7 (UDPGT 2B7) (UGT2B7) (EC 2.4;UDP-glucuronosyltransferase 1A1 (UGT1A1) (EC 2.4.1.17) (UDP-;UDP-glucuronosyltransferase 1A1 (UGT1A1) (EC 2.4.1.17) (B1) ;UDP-glucuronosyltransferase 1A7 (UGT1A7) (EC 2.4.1.17) (A2) ;UDP-glucuronosyltransferase 1A8 (UGT1A8) (EC 2.4.1.17) (A3) ;UDP-glucuronosyltransferase 1A3 (UGT1A3) (EC 2.4.1.17) (B3) ;UDP-glucuronosyltransferase (EC 2.4.1.17);UDP-glucuronosyltransferase 1A7 (UGT1A7) (EC 2.4.1.17) (UDP-;UDP-glucuronosyltransferase 2A1 (UDPGT 2A1) (UGT2A1) (EC 2.4;UDP-glucuronosyltransferase 1A7 (UGT1A7) (EC 2.4.1.17) (UDP-;UDP-glucuronosyltransferase 1A10 (UGT1A10) (EC 2.4.1.17) (UD;UDP-glucuronosyltransferase 1A8 (UGT1A8) (EC 2.4.1.17) (UDP-;Sterol 3-beta-glucosyltransferase UGT80A2 (EC 2.4.1.173) (UD;Sterol 3-beta-glucosyltransferase UGT80B1 (EC 2.4.1.173) (Pr;G-protein coupled estrogen receptor 1 (G protein-coupled est
64	148	Aldo-keto reductase family 1 member C1	0.459	3-alpha-hydroxysteroid 3-dehydrogenase [NAD(P)+] activity	0.851	Oxidoreductase	0.919	1	1.0	80	0.38	A0A0D9RMN9;A0A0D9RMS6;A0A0D9RN27;A0A0D9RN97;A0A1D5QHM1;A0A1D5QUW8;A0A286XYV5;A0A2I3LR75;A0A2J8S2Z9;A0A2K5FAB6;A0A2K5ISP7;A0A2K5IT04;A0A2K5IX72;A0A2K5JU80;A0A2K5K698;A0A2K5KP21;A0A2K5KP29;A0A2K5N513;A0A2K5S9L3;A0A2K5WGY6;A0A2K5WH05;A0A2K5WH12;A0A2K5WH18;A0A2K5WH36;A0A2K5WH53;A0A2K5WH67;A0A2K5Y8U6;A0A2K5Y8X6;A0A2K5YA60;A0A2K5YI62	NADP-dependent oxidoreductase domain-containing protein;NADP-dependent oxidoreductase domain-containing protein;NADP-dependent oxidoreductase domain-containing protein;NADP-dependent oxidoreductase domain-containing protein;NADP-dependent oxidoreductase domain-containing protein;NADP-dependent oxidoreductase domain-containing protein;Hedgehog protein;NADP-dependent oxidoreductase domain-containing protein;AKR1C3 isoform 7 (Aldo-keto reductase family 1 member C3);Hedgehog protein;NADP-dependent oxidoreductase domain-containing protein;NADP-dependent oxidoreductase domain-containing protein;NADP-dependent oxidoreductase domain-containing protein;NADP-dependent oxidoreductase domain-containing protein;NADP-dependent oxidoreductase domain-containing protein;NADP-dependent oxidoreductase domain-containing protein;NADP-dependent oxidoreductase domain-containing protein;NADP-dependent oxidoreductase domain-containing protein;Hedgehog protein;NADP-dependent oxidoreductase domain-containing protein;NADP-dependent oxidoreductase domain-containing protein;NADP-dependent oxidoreductase domain-containing protein;NADP-dependent oxidoreductase domain-containing protein;NADP-dependent oxidoreductase domain-containing protein;NADP-dependent oxidoreductase domain-containing protein;NADP-dependent oxidoreductase domain-containing protein;NADP-dependent oxidoreductase domain-containing protein;NADP-dependent oxidoreductase domain-containing protein;NADP-dependent oxidoreductase domain-containing protein;NADP-dependent oxidoreductase domain-containing protein
36	191	Glucocorticoid receptor	0.518	DNA-templated transcription	0.524	Receptor	0.921		0.0	92	0.364	G3V7K5;O15118;O35604;P56941;Q6T3U3;Q6T3U4;Q9UHC9;A0A096NUB7;A0A0D9RC39;A0A0G2JYI3;A0A1D5P8D7;A0A1S3FFL6;A0A2K5C6T9;A0A2K5PFN9;A0A2K5XJ33;A0A2K6CAE3;A0A2K6GPU0;A0A2K6UYW6;A0A2Y9FEM7;A0A2Y9NPM0;A0A3Q2H4K0;A0A452FRY0;A0A4W2GTQ5;A0A4X2K2K9;A0A663DUJ9;A0A670JDM8;A0A671FKT9;A0A672UH10;A0A674IAY4;A0A6I9LMF4	NPC intracellular cholesterol transporter 1;NPC intracellular cholesterol transporter 1 (Niemann-Pick C1;NPC intracellular cholesterol transporter 1 (Niemann-Pick C1;NPC intracellular cholesterol transporter 1 (Niemann-Pick C1;NPC1-like intracellular cholesterol transporter 1 (Npc1l1) (;NPC1-like intracellular cholesterol transporter 1 (Niemann-P;NPC1-like intracellular cholesterol transporter 1 (NPC1L1) (;Protein smoothened;Protein smoothened;Protein smoothened;Protein smoothened;Protein smoothened;Protein smoothened;Protein smoothened;Protein smoothened;Protein smoothened;Protein smoothened;Protein smoothened;Protein smoothened;Protein smoothened;Protein smoothened;Protein smoothened;Protein smoothened;Protein smoothened;Protein smoothened;Protein smoothened;Protein smoothened;Protein smoothened;Protein smoothened;Protein smoothened
62	82	Bile acid receptor	0.415	euchromatin	0.415	DNA-binding	0.646	1	1.0	48	0.29	A0A1S3EVD0;A0A1U7QPG2;A0A2I2ZXE7;A0A2I3LLS7;A0A2I3SGM1;A0A2J8RUL2;A0A2K5M116;A0A2K5X4K4;A0A2K5X4L5;A0A2K5ZJG0;A0A2K6B3A9;A0A2K6KKR8;A0A2K6QYB2;A0A2K6QYE3;A0A2R8ZKP7;A0A2R9B9N4;A0A2Y9FSA1;A0A3Q2GWX9;A0A452EHD6;A0A4X2KUM6;A0A671G9T7;A0A6J3HH75;A0A7J8AIW8;A0A8C0QUF8;A0A8C6E8T2;A0A8C9HAN3;A0A8C9Q9N5;A0A8D2JHP6;A0AAX6QKG7;A0ABQ9V2H5	Cytochrome P450 1A (EC 1.14.14.1);Delta(14)-sterol reductase LBR (EC 1.3.1.70) (3-beta-hydroxy;Cytochrome P450 1A (EC 1.14.14.1);Cytochrome P450 3A (EC 1.14.14.-);Cytochrome P450 3A (EC 1.14.14.-);Cytochrome P450 3A (EC 1.14.14.-);Cytochrome P450 3A (EC 1.14.14.-);Cytochrome P450 3A (EC 1.14.14.-);Cytochrome P450 3A (EC 1.14.14.-);Cytochrome P450 3A (EC 1.14.14.-);Cytochrome P450 3A (EC 1.14.14.-);Cytochrome P450 3A (EC 1.14.14.-);Cytochrome P450 3A (EC 1.14.14.-);Cytochrome P450 3A (EC 1.14.14.-);Cytochrome P450 3A (EC 1.14.14.-);Cytochrome P450 1A (EC 1.14.14.1);Delta(14)-sterol reductase LBR (EC 1.3.1.70) (3-beta-hydroxy;Delta(14)-sterol reductase LBR (EC 1.3.1.70) (3-beta-hydroxy;Delta(14)-sterol reductase LBR (EC 1.3.1.70) (3-beta-hydroxy;Cytochrome P450 1A (EC 1.14.14.1);Delta(14)-sterol reductase LBR (EC 1.3.1.70) (3-beta-hydroxy;Cytochrome P450 1A (EC 1.14.14.1);Cytochrome P450 1A (EC 1.14.14.1);Delta(14)-sterol reductase LBR (EC 1.3.1.70) (3-beta-hydroxy;Delta(14)-sterol reductase LBR (EC 1.3.1.70) (3-beta-hydroxy;Cytochrome P450 3A (EC 1.14.14.-);Cytochrome P450 1A (EC 1.14.14.1);Delta(14)-sterol reductase LBR (EC 1.3.1.70) (3-beta-hydroxy;Cytochrome P450 1A (EC 1.14.14.1);Cytochrome P450 1A (EC 1.14.14.1)
